OKTMO_code,OKTMO_description,population,men,women,urban_population,urban_men_population,urban_women_population,rural_population,rural_men_population,rural_women_population
643,"Российская Федерация",142856536,66046579,76809957,105313773,48117546,57196227,37542763,17929033,19613730
14000000,"Муниципальные образования Белгородской области",1532526,705214,827312,1012932,463681,549251,519594,241533,278061
15000000,"Муниципальные образования Брянской области",1278217,582569,695648,883427,397889,485538,394790,184680,210110
17000000,"Муниципальные образования Владимирской области",1443693,650141,793552,1120671,501026,619645,323022,149115,173907
20000000,"Муниципальные образования Воронежской области",2335380,1066430,1268950,1486571,671600,814971,848809,394830,453979
24000000,"Муниципальные образования Ивановской области",1061651,474439,587212,859335,377832,481503,202316,96607,105709
29000000,"Муниципальные образования Калужской области",1010930,463841,547089,771655,350734,420921,239275,113107,126168
34000000,"Муниципальные образования Костромской области",667562,304103,363459,466689,209677,257012,200873,94426,106447
38000000,"Муниципальные образования Курской области",1127081,510758,616323,734649,329247,405402,392432,181511,210921
42000000,"Муниципальные образования Липецкой области",1173513,535467,638046,747213,338631,408582,426300,196836,229464
46000000,"Муниципальные образования Московской области",7095120,3270733,3824387,5683710,2601448,3082262,1411410,669285,742125
54000000,"Муниципальные образования Орловской области",786935,355252,431683,515404,229653,285751,271531,125599,145932
61000000,"Муниципальные образования Рязанской области",1154114,524563,629551,818349,369905,448444,335765,154658,181107
66000000,"Муниципальные образования Смоленской области",985537,448385,537152,716299,321504,394795,269238,126881,142357
68000000,"Муниципальные образования Тамбовской области",1091994,500455,591539,640814,287790,353024,451180,212665,238515
28000000,"Муниципальные образования Тверской области",1353392,610875,742517,1011406,449630,561776,341986,161245,180741
70000000,"Муниципальные образования Тульской области",1553925,696658,857267,1233689,547551,686138,320236,149107,171129
78000000,"Муниципальные образования Ярославской области",1272468,568097,704371,1045526,463069,582457,226942,105028,121914
45000000,"Муниципальные образования города Москвы (столицы Российской Федерации города федерального значения)",11503501,5304622,6198879
86000000,"Муниципальные образования Республики Карелии",643548,293244,350304,502217,226833,275384,141331,66411,74920
87000000,"Муниципальные образования Республики Коми",901189,425641,475548,693436,322991,370445,207753,102650,105103
11000000,"Муниципальные образования Архангельской области",1227626,573097,654529,928973,426667,502306,298653,146430,152223
11800,"Муниципальные образования Ненецкого автономного округа",42090,20487,21603,28539,13608,14931,13551,6879,6672
19000000,"Муниципальные образования Вологодской области",1202444,553176,649268,849853,385858,463995,352591,167318,185273
27000000,"Муниципальные образования Калининградской области",941873,442056,499817,730778,338872,391906,211095,103184,107911
41000000,"Муниципальные образования Ленинградской области",1716868,797950,918918,1127551,517421,610130,589317,280529,308788
47000000,"Муниципальные образования Мурманской области",795409,379560,415849,738382,348821,389561,57027,30739,26288
49000000,"Муниципальные образования Новгородской области",634111,284613,349498,447909,198812,249097,186202,85801,100401
58000000,"Муниципальные образования Псковской области",673423,308652,364771,472514,213622,258892,200909,95030,105879
40000000,"Муниципальные образования города Санкт-Петербурга (города федерального значения)",4879566,2188918,2690648
79000000,"Муниципальные образования Республики Адыгеи ",439996,204525,235471,223895,101672,122223,216101,102853,113248
85000000,"Муниципальные образования Республики Калмыкии",289481,139300,150181,127637,58619,69018,161844,80681,81163
3000000,"Муниципальные образования Краснодарского края",5226647,2423486,2803161,2765435,1264038,1501397,2461212,1159448,1301764
12000000,"Муниципальные образования Астраханской области",1010073,473227,536846,673737,311514,362223,336336,161713,174623
18000000,"Муниципальные образования Волгоградской области",2610161,1208447,1401714,1983322,906973,1076349,626839,301474,325365
60000000,"Муниципальные образования Ростовской области",4277976,1979554,2298422,2875121,1312690,1562431,1402855,666864,735991
82000000,"Муниципальные образования Республики Дагестан",2910249,1400565,1509684,1315882,625924,689958,1594367,774641,819726
26000000,"Муниципальные образования Республики Ингушетия",412529,184560,227969,157816,69542,88274,254713,115018,139695
83000000,"Муниципальные образования Кабардино-Балкарской Республики",859939,401775,458164,468456,212471,255985,391483,189304,202179
91000000,"Муниципальные образования Карачаево-Черкесской Республики",477859,221040,256819,207457,92606,114851,270402,128434,141968
90000000,"Муниципальные образования Республики Северной Осетии-Алании",712980,331011,381969,454560,207945,246615,258420,123066,135354
96000000,"Муниципальные образования Чеченской Республики",1268989,622557,646432,443507,219790,223717,825482,402767,422715
7000000,"Муниципальные образования Ставропольского края",2786281,1297159,1489122,1592747,727656,865091,1193534,569503,624031
80000000,"Муниципальные образования Республики Башкортостан",4072292,1903773,2168519,2461652,1126803,1334849,1610640,776970,833670
88000000,"Муниципальные образования Республики Марий Эл",696459,323872,372587,439622,198731,240891,256837,125141,131696
89000000,"Муниципальные образования Республики Мордовии",834755,383663,451092,504336,227207,277129,330419,156456,173963
92000000,"Муниципальные образования Республики Татарстан (Татарстана)",3786488,1748443,2038045,2853661,1302121,1551540,932827,446322,486505
94000000,"Муниципальные образования Удмуртской Республики",1521420,699633,821787,1052153,471968,580185,469267,227665,241602
97000000,"Муниципальные образования Чувашской Республики - Чувашии",1251619,581806,669813,735890,331276,404614,515729,250530,265199
57000000,"Муниципальные образования Пермского края",2635276,1207037,1428239,1976070,887961,1088109,659206,319076,340130
33000000,"Муниципальные образования Кировской области",1341312,616217,725095,993176,448805,544371,348136,167412,180724
22000000,"Муниципальные образования Нижегородской области",3310597,1496305,1814292,2611497,1166660,1444837,699100,329645,369455
53000000,"Муниципальные образования Оренбургской области",2033072,945194,1087878,1213937,554935,659002,819135,390259,428876
56000000,"Муниципальные образования Пензенской области",1386186,632549,753637,930102,419869,510233,456084,212680,243404
36000000,"Муниципальные образования Самарской области",3215532,1471711,1743821,2579589,1170296,1409293,635943,301415,334528
63000000,"Муниципальные образования Саратовской области",2521892,1152458,1369434,1879565,847968,1031597,642327,304490,337837
73000000,"Муниципальные образования Ульяновской области",1292799,592088,700711,950630,432457,518173,342169,159631,182538
37000000,"Муниципальные образования Курганской области",910807,418042,492765,548820,246647,302173,361987,171395,190592
65000000,"Муниципальные образования Свердловской области",4297747,1967670,2330077,3604012,1636095,1967917,693735,331575,362160
71000000,"Муниципальные образования Тюменской области",3395755,1635963,1759792,2653456,1274289,1379167,742299,361674,380625
71800,"Муниципальные образования Ханты-Мансийского автономного округа - Югры",1532243,750849,781394,1401429,683701,717728,130814,67148,63666
71900,"Муниципальные образования Ямало-Ненецкого автономного округа",522904,259200,263704,443043,218963,224080,79861,40237,39624
75000000,"Муниципальные образования Челябинской области",3476217,1589976,1886241,2849923,1294795,1555128,626294,295181,331113
84000000,"Муниципальные образования Республики Алтай",206168,97454,108714,56933,25230,31703,149235,72224,77011
81000000,"Муниципальные образования Республики Бурятии",972021,462355,509666,567632,266541,301091,404389,195814,208575
93000000,"Муниципальные образования Республики Тыва",307930,145965,161965,163402,76432,86970,144528,69533,74995
95000000,"Муниципальные образования Республики Хакасия",532403,246885,285518,358187,164317,193870,174216,82568,91648
1000000,"Муниципальные образования Алтайского края",2419755,1117455,1302300,1323578,600397,723181,1096177,517058,579119
76000000,"Муниципальные образования Забайкальского края",1107107,529486,577621,729641,344078,385563,377466,185408,192058
4000000,"Муниципальные образования Красноярского края",2828187,1317575,1510612,2157706,990611,1167095,670481,326964,343517
25000000,"Муниципальные образования Иркутской области",2428750,1124380,1304370,1932334,882800,1049534,496416,241580,254836
32000000,"Муниципальные образования Кемеровской области",2763135,1266464,1496671,2358901,1072115,1286786,404234,194349,209885
50000000,"Муниципальные образования Новосибирской области",2665911,1238997,1426914,2059914,948288,1111626,605997,290709,315288
52000000,"Муниципальные образования Омской области",1977665,913129,1064536,1413226,643418,769808,564439,269711,294728
69000000,"Муниципальные образования Томской области",1047394,492012,555382,735667,342744,392923,311727,149268,162459
98000000,"Муниципальные образования Республики Саха (Якутии)",958528,465906,492622,614545,296573,317972,343983,169333,174650
30000000,"Муниципальные образования Камчатского края",322079,159642,162437,249150,122695,126455,72929,36947,35982
5000000,"Муниципальные образования Приморского края",1956497,936817,1019680,1488957,701968,786989,467540,234849,232691
8000000,"Муниципальные образования Хабаровского края",1343869,639835,704034,1099714,514964,584750,244155,124871,119284
10000000,"Муниципальные образования Амурской области",830103,393787,436316,554572,256839,297733,275531,136948,138583
44000000,"Муниципальные образования Магаданской области",156996,76395,80601,149811,72545,77266,7185,3850,3335
64000000,"Муниципальные образования Сахалинской области",497973,239511,258462,397106,188965,208141,100867,50546,50321
99000000,"Муниципальные образования Еврейской автономной области",176558,84096,92462,119381,55068,64313,57177,29028,28149
77000000,"Муниципальные образования Чукотского автономного округа",50526,25318,25208,32734,16331,16403,17792,8987,8805
